ID,overetch,distance,coeff(1),coeff(2),coeff(3),coeff(4)
425,0.125,20.0,-1.5,1.5,-1.5,0.0
428,0.125,20.0,-1.5,1.5,0.0,0.0
427,0.125,20.0,-1.5,1.5,0.0,-1.5
429,0.125,20.0,-1.5,1.5,0.0,1.5
431,0.125,20.0,-1.5,1.5,1.5,0.0
430,0.125,20.0,-1.5,1.5,1.5,-1.5
426,0.125,20.0,-1.5,1.5,-1.5,1.5
432,0.125,20.0,-1.5,1.5,1.5,1.5
433,0.125,20.0,0.0,-1.5,-1.5,-1.5
434,0.125,20.0,0.0,-1.5,-1.5,0.0
438,0.125,20.0,0.0,-1.5,0.0,1.5
436,0.125,20.0,0.0,-1.5,0.0,-1.5
440,0.125,20.0,0.0,-1.5,1.5,0.0
439,0.125,20.0,0.0,-1.5,1.5,-1.5
435,0.125,20.0,0.0,-1.5,-1.5,1.5
437,0.125,20.0,0.0,-1.5,0.0,0.0
441,0.125,20.0,0.0,-1.5,1.5,1.5
442,0.125,20.0,0.0,0.0,-1.5,-1.5
443,0.125,20.0,0.0,0.0,-1.5,0.0
445,0.125,20.0,0.0,0.0,0.0,-1.5
444,0.125,20.0,0.0,0.0,-1.5,1.5
447,0.125,20.0,0.0,0.0,0.0,1.5
448,0.125,20.0,0.0,0.0,1.5,-1.5
450,0.125,20.0,0.0,0.0,1.5,1.5
449,0.125,20.0,0.0,0.0,1.5,0.0
446,0.125,20.0,0.0,0.0,0.0,0.0
451,0.125,20.0,0.0,1.5,-1.5,-1.5
452,0.125,20.0,0.0,1.5,-1.5,0.0
453,0.125,20.0,0.0,1.5,-1.5,1.5
454,0.125,20.0,0.0,1.5,0.0,-1.5
455,0.125,20.0,0.0,1.5,0.0,0.0
456,0.125,20.0,0.0,1.5,0.0,1.5
459,0.125,20.0,0.0,1.5,1.5,1.5
460,0.125,20.0,1.5,-1.5,-1.5,-1.5
457,0.125,20.0,0.0,1.5,1.5,-1.5
458,0.125,20.0,0.0,1.5,1.5,0.0
463,0.125,20.0,1.5,-1.5,0.0,-1.5
461,0.125,20.0,1.5,-1.5,-1.5,0.0
464,0.125,20.0,1.5,-1.5,0.0,0.0
462,0.125,20.0,1.5,-1.5,-1.5,1.5
465,0.125,20.0,1.5,-1.5,0.0,1.5
466,0.125,20.0,1.5,-1.5,1.5,-1.5
471,0.125,20.0,1.5,0.0,-1.5,1.5
468,0.125,20.0,1.5,-1.5,1.5,1.5
467,0.125,20.0,1.5,-1.5,1.5,0.0
470,0.125,20.0,1.5,0.0,-1.5,0.0
472,0.125,20.0,1.5,0.0,0.0,-1.5
469,0.125,20.0,1.5,0.0,-1.5,-1.5
473,0.125,20.0,1.5,0.0,0.0,0.0
475,0.125,20.0,1.5,0.0,1.5,-1.5
474,0.125,20.0,1.5,0.0,0.0,1.5
476,0.125,20.0,1.5,0.0,1.5,0.0
477,0.125,20.0,1.5,0.0,1.5,1.5
478,0.125,20.0,1.5,1.5,-1.5,-1.5
480,0.125,20.0,1.5,1.5,-1.5,1.5
482,0.125,20.0,1.5,1.5,0.0,0.0
479,0.125,20.0,1.5,1.5,-1.5,0.0
483,0.125,20.0,1.5,1.5,0.0,1.5
484,0.125,20.0,1.5,1.5,1.5,-1.5
485,0.125,20.0,1.5,1.5,1.5,0.0
481,0.125,20.0,1.5,1.5,0.0,-1.5
487,0.125,22.5,-1.5,-1.5,-1.5,-1.5
486,0.125,20.0,1.5,1.5,1.5,1.5
488,0.125,22.5,-1.5,-1.5,-1.5,0.0
489,0.125,22.5,-1.5,-1.5,-1.5,1.5
491,0.125,22.5,-1.5,-1.5,0.0,0.0
490,0.125,22.5,-1.5,-1.5,0.0,-1.5
492,0.125,22.5,-1.5,-1.5,0.0,1.5
494,0.125,22.5,-1.5,-1.5,1.5,0.0
493,0.125,22.5,-1.5,-1.5,1.5,-1.5
496,0.125,22.5,-1.5,0.0,-1.5,-1.5
495,0.125,22.5,-1.5,-1.5,1.5,1.5
497,0.125,22.5,-1.5,0.0,-1.5,0.0
498,0.125,22.5,-1.5,0.0,-1.5,1.5
501,0.125,22.5,-1.5,0.0,0.0,1.5
499,0.125,22.5,-1.5,0.0,0.0,-1.5
502,0.125,22.5,-1.5,0.0,1.5,-1.5
500,0.125,22.5,-1.5,0.0,0.0,0.0
503,0.125,22.5,-1.5,0.0,1.5,0.0
504,0.125,22.5,-1.5,0.0,1.5,1.5
506,0.125,22.5,-1.5,1.5,-1.5,0.0
507,0.125,22.5,-1.5,1.5,-1.5,1.5
